NAME,total_population,female_white_alone_30_34,female_asian_alone_30_34,male_asian_alone_30_34,male_white_alone_30_34,male_white_alone_35_39,male_asian_alone_35_39,state,place
"Cowan CDP, California",263,0,0,0,27,0,0,06,16762
"Crescent City city, California",6379,36,0,0,192,370,9,06,17022
"Crescent Mills CDP, California",33,0,0,0,0,0,0,06,17050
"Cressey CDP, California",360,11,0,0,0,11,0,06,17078
"Crest CDP, California",3179,29,0,0,74,60,10,06,17106
"Crestline CDP, California",9335,169,0,0,216,440,0,06,17162
"Creston CDP, California",0,0,0,0,0,0,0,06,17232
"C-Road CDP, California",93,0,0,0,0,6,0,06,17267
"Crockett CDP, California",3574,81,0,0,64,153,0,06,17274
"Cromberg CDP, California",401,0,0,0,0,0,0,06,17288
"Crowley Lake CDP, California",1066,26,0,0,29,119,0,06,17372
"Crows Landing CDP, California",212,11,0,0,0,9,0,06,17428
"Cudahy city, California",22657,15,6,0,18,35,0,06,17498
"Culver City city, California",40357,1074,597,335,1192,1466,488,06,17568
"Cupertino city, California",59763,332,1003,1257,403,764,3674,06,17610
"Cutler CDP, California",4429,0,0,0,0,0,0,06,17708
"Cutten CDP, California",3309,98,0,10,17,449,0,06,17722
"Cuyama CDP, California",9,0,0,0,0,0,0,06,17727
"Cypress city, California",49955,345,459,338,473,892,1461,06,17750
"Dales CDP, California",79,0,0,0,0,0,0,06,17876
"Daly City city, California",103648,465,2015,2927,693,891,4337,06,17918
"Dana Point city, California",33025,558,31,0,457,1131,116,06,17946
"Danville town, California",43449,408,236,77,493,1330,727,06,17988
"Daphnedale Park CDP, California",185,10,0,0,7,16,0,06,17995
"Darwin CDP, California",86,0,0,0,0,0,0,06,18030
"Davenport CDP, California",650,0,0,0,0,2,0,06,18086
"Davis city, California",67203,1060,382,315,1077,1499,723,06,18100
"Day Valley CDP, California",3252,27,0,0,49,113,0,06,18153
"Deer Park CDP, California",835,0,0,0,21,39,14,06,18324
"Del Aire CDP, California",10756,137,123,138,147,377,109,06,18352
"Delano city, California",50498,121,150,296,159,413,539,06,18394
"Del Dios CDP, California",252,0,0,0,0,6,0,06,18422
"Delft Colony CDP, California",1038,0,0,0,0,0,0,06,18450
"Delhi CDP, California",10896,5,102,54,39,54,85,06,18464
"Delleker CDP, California",383,14,0,0,9,11,0,06,18485
"Del Mar city, California",3956,66,0,0,63,132,0,06,18506
"Del Monte Forest CDP, California",3416,40,0,0,32,95,13,06,18590
"Del Rey CDP, California",1491,0,0,0,8,0,0,06,18674
"Del Rey Oaks city, California",1611,68,0,0,30,59,0,06,18688
"Del Rio CDP, California",1146,16,0,0,0,32,0,06,18695
"Denair CDP, California",4289,32,0,0,42,61,0,06,18856
"Derby Acres CDP, California",416,2,0,0,4,11,0,06,18926
"Descanso CDP, California",1425,11,0,0,63,11,4,06,18940
"Desert Center CDP, California",191,8,0,0,0,7,0,06,18982
"Desert Edge CDP, California",3715,0,0,0,0,117,0,06,18986
"Desert Hot Springs city, California",32386,176,0,9,113,433,149,06,18996
"Desert Palms CDP, California",6414,0,0,0,14,0,0,06,19022
"Desert Shores CDP, California",360,0,0,0,0,0,0,06,19024
"Desert View Highlands CDP, California",3275,38,0,0,0,41,0,06,19052
"Diablo CDP, California",772,7,0,0,0,81,0,06,19150
"Diablo Grande CDP, California",1257,9,0,4,7,77,10,06,19155
"Diamond Bar city, California",54534,229,893,720,248,280,1899,06,19192
"Diamond Springs CDP, California",12197,123,0,34,101,769,0,06,19220
"Di Giorgio CDP, California",315,0,0,0,0,0,0,06,19248
"Dillon Beach CDP, California",442,17,0,0,50,63,0,06,19262
"Dinuba city, California",24713,35,8,0,73,131,14,06,19318
