NAME,total_population,female_white_alone_30_34,female_asian_alone_30_34,male_asian_alone_30_34,male_white_alone_30_34,male_white_alone_35_39,male_asian_alone_35_39,state,place
"Santa Fe Springs city, California",18840,99,114,115,25,101,185,06,69154
"Santa Margarita CDP, California",698,40,0,0,0,16,0,06,69182
"Santa Maria city, California",109543,433,152,131,367,748,344,06,69196
"Santa Monica city, California",92168,3019,715,489,3166,4748,638,06,70000
"Santa Nella CDP, California",2055,65,20,0,0,0,0,06,70028
"Santa Paula city, California",30788,132,0,0,159,279,12,06,70042
"Santa Rosa city, California",178221,2906,305,387,3503,6395,749,06,70098
"Santa Rosa Valley CDP, California",2508,18,0,21,10,91,9,06,70130
"Santa Susana CDP, California",1132,13,0,0,42,19,0,06,70140
"Santa Venetia CDP, California",3785,161,0,0,126,88,13,06,70154
"Santa Ynez CDP, California",4716,38,0,0,76,226,0,06,70182
"Santee city, California",59497,1485,97,151,1476,3040,169,06,70224
"Saranap CDP, California",6136,52,0,72,87,284,53,06,70266
"Saratoga city, California",30771,106,187,289,124,558,1087,06,70280
"Saticoy CDP, California",1628,25,0,0,0,9,7,06,70322
"Sattley CDP, California",27,0,0,0,0,0,0,06,70336
"Sausalito city, California",7233,240,0,113,202,341,54,06,70364
"Scotia CDP, California",510,30,0,0,7,51,0,06,70518
"Scotts Valley city, California",12239,276,16,0,179,670,102,06,70588
"Seacliff CDP, California",3550,26,0,19,28,128,0,06,70644
"Seal Beach city, California",25046,433,8,44,220,946,94,06,70686
"Sea Ranch CDP, California",1224,0,0,0,20,0,0,06,70712
"Searles Valley CDP, California",1716,24,0,0,17,94,4,06,70728
"Seaside city, California",32291,587,95,66,358,515,201,06,70742
"Sebastopol city, California",7503,116,0,0,102,272,0,06,70770
"Seeley CDP, California",1756,0,0,0,0,0,0,06,70798
"Selma city, California",24576,63,0,0,61,148,0,06,70882
"Sequoia Crest CDP, California",89,0,0,0,0,0,0,06,70966
"Sereno del Mar CDP, California",98,0,0,0,0,0,0,06,71000
"Seville CDP, California",411,2,0,0,0,0,0,06,71078
"Shafter city, California",20162,47,12,13,129,170,15,06,71106
"Shandon CDP, California",1031,3,0,0,0,53,0,06,71134
"Shasta CDP, California",1376,11,0,0,22,109,0,06,71218
"Shasta Lake city, California",10361,259,11,0,183,511,24,06,71225
"Shaver Lake CDP, California",306,2,0,0,9,15,0,06,71246
"Shell Ridge CDP, California",1041,0,0,0,37,33,0,06,71362
"Shelter Cove CDP, California",500,0,0,0,0,5,0,06,71372
"Sheridan CDP, California",1397,53,0,0,17,40,0,06,71414
"Shingle Springs CDP, California",3703,172,0,0,87,69,0,06,71554
"Shingletown CDP, California",2248,0,0,0,33,23,0,06,71568
"Shoshone CDP, California",23,0,0,0,0,7,0,06,71680
"Sierra Brooks CDP, California",503,0,0,0,0,0,0,06,71774
"Sierra City CDP, California",221,0,0,0,0,0,0,06,71778
"Sierra Madre city, California",11151,175,62,53,93,394,93,06,71806
"Sierra Village CDP, California",90,0,0,0,17,0,0,06,71834
"Sierraville CDP, California",227,0,0,0,0,0,0,06,71848
"Signal Hill city, California",11678,105,273,141,190,271,188,06,71876
"Silverado CDP, California",878,10,0,0,9,81,0,06,71918
"Silverado Resort CDP, California",1012,5,0,0,0,20,0,06,71927
"Silver City CDP, California",0,0,0,0,0,0,0,06,71932
"Silver Lakes CDP, California",5532,62,0,0,314,282,0,06,71964
"Simi Valley city, California",126153,1978,455,512,2375,4052,918,06,72016
"Sisquoc CDP, California",155,8,0,0,2,9,0,06,72086
"Sky Valley CDP, California",2307,26,0,0,24,46,0,06,72156
"Sleepy Hollow CDP, California",2778,18,0,0,25,45,0,06,72184
"Smartsville CDP, California",379,34,0,0,15,14,0,06,72282
"Smith Corner CDP, California",316,0,0,0,21,0,0,06,72338
"Smith River CDP, California",849,0,0,0,0,52,0,06,72380
"Snelling CDP, California",178,0,0,0,3,0,0,06,72408
"Soda Bay CDP, California",759,14,0,0,0,0,0,06,72478
"Soda Springs CDP, California",54,0,0,0,0,0,0,06,72492
"Solana Beach city, California",12946,326,32,0,226,384,19,06,72506
"Soledad city, California",24781,0,23,0,128,240,149,06,72520
"Solvang city, California",6035,21,0,0,56,92,0,06,72576
"Somis CDP, California",1083,23,0,0,30,10,0,06,72632
"Sonoma city, California",10702,142,18,0,131,398,48,06,72646
"Sonoma State University CDP, California",1707,0,0,16,0,0,17,06,72654
"Sonora city, California",4963,165,0,0,174,195,3,06,72674
"Soquel CDP, California",10505,190,0,0,113,437,53,06,72688
"Soulsbyville CDP, California",1972,93,0,0,77,31,0,06,72772
"South Dos Palos CDP, California",1476,0,0,0,0,10,0,06,72954
"South El Monte city, California",19694,6,191,173,23,38,226,06,72996
"South Gate city, California",92381,48,18,10,70,88,19,06,73080
"South Lake Tahoe city, California",21346,697,70,56,515,1258,139,06,73108
"South Monrovia Island CDP, California",6833,5,32,22,37,183,56,06,73167
"South Oroville CDP, California",2291,40,23,38,56,19,48,06,73178
"South Pasadena city, California",26583,335,277,89,328,1144,650,06,73220
"South San Francisco city, California",65596,522,1195,884,573,1189,2188,06,73262
"South San Gabriel CDP, California",7786,0,194,233,19,0,454,06,73276
"South San Jose Hills CDP, California",18717,61,117,206,18,32,127,06,73290
"South Taft CDP, California",2370,0,0,0,0,34,0,06,73388
"South Whittier CDP, California",57383,222,145,110,214,432,306,06,73430
"Spaulding CDP, California",233,0,0,0,0,14,0,06,73554
"Spreckels CDP, California",198,0,0,0,0,8,0,06,73612
"Spring Garden CDP, California",0,0,0,0,0,0,0,06,73654
"Spring Valley CDP (Lake County), California",889,0,0,0,7,30,0,06,73690
"Spring Valley CDP (San Diego County), California",32496,465,88,71,254,1041,163,06,73696
"Spring Valley Lake CDP, California",8764,115,0,0,213,364,42,06,73700
"Springville CDP, California",508,21,0,0,62,71,0,06,73710
"Squaw Valley CDP, California",4568,38,48,44,29,198,15,06,73794
"Squirrel Mountain Valley CDP, California",1071,20,0,0,0,85,0,06,73815
"Stallion Springs CDP, California",2396,39,0,0,47,130,0,06,73868
"Stanford CDP, California",17255,230,167,109,220,86,84,06,73906
"Stanton city, California",38271,188,350,290,159,437,582,06,73962
"Stebbins CDP, California",923,14,0,0,0,31,0,06,74021
"Stevenson Ranch CDP, California",20484,140,59,15,243,537,180,06,74130
"Stevinson CDP, California",132,0,0,0,0,27,0,06,74144
"Stinson Beach CDP, California",371,0,0,0,0,0,0,06,74172
"Stirling City CDP, California",501,0,0,0,12,12,0,06,74186
"Stockton city, California",320030,1390,2428,2544,1740,3515,4396,06,75000
"Stones Landing CDP, California",144,0,0,0,0,0,0,06,75122
"Stonyford CDP, California",82,0,0,0,0,5,0,06,75154
"Stratford CDP, California",1034,0,0,0,0,54,0,06,75252
"Strathmore CDP, California",2993,0,0,0,0,0,0,06,75280
"Strawberry CDP (Marin County), California",5632,184,9,7,68,225,39,06,75315
"Strawberry CDP (Tuolumne County), California",64,0,0,0,0,0,0,06,75322
"Sugarloaf Saw Mill CDP, California",0,0,0,0,0,0,0,06,75592
"Sugarloaf Village CDP, California",7,0,0,0,0,0,0,06,75596
"Suisun City city, California",29350,259,122,73,260,466,234,06,75630
"Sultana CDP, California",1005,4,0,8,0,8,0,06,75672
"Summerland CDP, California",1274,0,0,0,0,0,0,06,75714
"Sunnyside CDP, California",4565,12,0,9,53,122,42,06,75994
"Sunnyside-Tahoe City CDP, California",1536,138,17,0,59,221,0,06,76015
"Sunny Slopes CDP, California",66,0,0,0,0,0,0,06,76040
"Sunnyvale city, California",154573,1499,5344,6696,2019,3290,7214,06,77000
"Sunol CDP, California",920,5,0,0,27,55,8,06,77042
"Sun Village CDP, California",11472,133,0,0,0,144,7,06,77308
"Susanville city, California",15737,197,0,2,548,938,81,06,77364
"Sutter CDP, California",2848,52,0,0,32,116,0,06,77378
"Sutter Creek city, California",2659,35,5,5,42,43,0,06,77392
"Swall Meadows CDP, California",365,0,0,0,0,37,0,06,77430
"Taft city, California",7414,247,0,10,200,262,0,06,77574
"Taft Heights CDP, California",1638,118,0,0,30,122,0,06,77588
"Taft Mosswood CDP, California",987,0,45,5,0,0,11,06,77595
"Tahoe Vista CDP, California",1171,29,0,0,14,58,0,06,77700
"Tahoma CDP, California",1071,29,0,0,138,69,0,06,77728
"Talmage CDP, California",1031,22,0,0,20,0,0,06,77784
"Tamalpais-Homestead Valley CDP, California",12196,137,0,0,106,608,53,06,77805
"Tancred CDP, California",41,0,0,0,0,0,0,06,77860
"Tara Hills CDP, California",5202,46,34,57,7,155,65,06,77924
"Tarina CDP, California",0,0,0,0,0,0,0,06,77934
"Tarpey Village CDP, California",3746,23,0,8,60,144,98,06,77960
"Taylorsville CDP, California",27,0,0,0,0,0,0,06,78008
"Tecopa CDP, California",187,0,0,0,0,0,0,06,78050
"Tehachapi city, California",12855,302,14,18,356,932,105,06,78092
"Tehama city, California",421,5,0,0,3,11,0,06,78106
"Temecula city, California",110114,1925,347,336,1651,4299,680,06,78120
"Temelec CDP, California",1693,0,0,0,0,0,0,06,78126
"Temescal Valley CDP, California",28227,377,192,65,355,527,195,06,78138
"Temple City city, California",36165,74,775,739,79,120,1580,06,78148
"Templeton CDP, California",8614,124,18,0,80,325,8,06,78162
"Tennant CDP, California",80,0,0,0,0,0,0,06,78176
"Terminous CDP, California",392,3,0,0,39,4,0,06,78232
"Terra Bella CDP, California",1806,0,0,0,0,56,0,06,78288
"Teviston CDP, California",1038,15,0,0,0,14,0,06,78336
"Thermal CDP, California",1352,38,0,0,0,0,0,06,78456
"Thermalito CDP, California",6790,109,0,28,71,162,79,06,78470
"Thornton CDP, California",873,30,10,0,12,0,9,06,78568
"Thousand Oaks city, California",126532,1722,349,273,1621,3904,947,06,78582
"Thousand Palms CDP, California",8242,20,0,0,44,57,0,06,78596
"Three Rivers CDP, California",2496,67,0,0,23,56,0,06,78638
"Three Rocks CDP, California",181,0,0,0,0,0,0,06,78652
"Tiburon town, California",9115,42,41,7,13,431,40,06,78666
"Timber Cove CDP, California",235,0,0,0,0,0,0,06,78715
"Tipton CDP, California",3170,0,0,0,7,6,0,06,78750
"Tobin CDP, California",0,0,0,0,0,0,0,06,78792
"Tomales CDP, California",178,0,0,0,0,0,0,06,78890
"Tonyville CDP, California",314,0,0,0,0,0,0,06,78932
"Tooleville CDP, California",51,0,0,0,0,0,0,06,78949
"Topanga CDP, California",8202,63,81,0,68,477,0,06,78960
"Topaz CDP, California",162,0,0,0,0,0,0,06,79030
"Toro Canyon CDP, California",1692,36,0,0,18,48,20,06,79529
"Torrance city, California",145454,1238,1740,1459,1171,3239,3739,06,80000
"Trabuco Canyon CDP, California",1275,11,9,5,6,54,0,06,80210
"Tracy city, California",94027,843,820,779,591,1912,1238,06,80238
"Tranquillity CDP, California",786,0,0,0,0,17,0,06,80266
"Traver CDP, California",427,0,0,0,0,4,0,06,80280
"Tres Pinos CDP, California",1006,0,30,0,8,2,0,06,80364
"Trinidad city, California",449,8,0,0,7,12,0,06,80448
"Trinity Center CDP, California",250,0,0,0,0,0,0,06,80476
"Trinity Village CDP, California",580,0,0,0,0,10,0,06,80483
"Trona CDP, California",0,0,0,0,0,0,0,06,80515
"Trowbridge CDP, California",192,11,0,0,4,10,0,06,80560
"Truckee town, California",16784,366,0,0,439,935,17,06,80588
"Tulare city, California",69261,481,72,115,532,1108,97,06,80644
"Tulelake city, California",811,8,0,0,33,18,0,06,80686
"Tuolumne City CDP, California",1297,0,26,0,0,0,7,06,80763
"Tupman CDP, California",150,0,0,0,6,9,0,06,80784
"Turlock city, California",72504,1143,159,136,913,1994,301,06,80812
"Tustin city, California",79514,951,933,683,984,1071,1653,06,80854
"Tuttle CDP, California",65,0,0,0,0,0,0,06,80882
"Tuttletown CDP, California",946,7,0,0,31,79,0,06,80896
"Twain CDP, California",319,0,0,0,0,62,0,06,80952
"Twain Harte CDP, California",2154,133,0,11,131,118,0,06,80966
"Twentynine Palms city, California",28006,649,10,43,603,776,5,06,80994
"Twin Lakes CDP (Mono County), California",87,0,0,0,0,0,0,06,81048
"Twin Lakes CDP (Santa Cruz County), California",5090,169,91,0,75,178,16,06,81050
"Ukiah city, California",16496,242,56,56,345,411,36,06,81134
"Union City city, California",69502,224,1518,1840,315,680,3501,06,81204
"University of California-Davis CDP, California",8229,8,49,173,17,7,31,06,81302
"University of California-Merced CDP, California",1079,0,0,0,0,0,0,06,81312
"University of California-Santa Barbara CDP, California",11441,70,45,78,122,57,36,06,81316
"Upland city, California",78847,923,605,414,901,1547,375,06,81344
"Upper Lake CDP, California",954,0,0,0,33,35,0,06,81358
"Vacaville city, California",101631,1828,495,451,1868,2982,713,06,81554
"Valinda CDP, California",21952,12,187,173,61,109,217,06,81638
"Vallecito CDP, California",213,0,0,0,0,0,0,06,81652
"Vallejo city, California",125132,758,826,878,946,2112,1781,06,81666
"Valle Vista CDP, California",19252,324,133,16,217,616,0,06,81708
"Valley Acres CDP, California",610,0,0,0,0,4,0,06,81722
"Valley Center CDP, California",10929,111,0,31,283,214,19,06,81736
"Valley Ford CDP, California",0,0,0,0,0,0,0,06,81778
"Valley Home CDP, California",246,8,0,0,0,13,0,06,81792
"Valley Ranch CDP, California",41,0,0,0,27,0,0,06,81869
"Valley Springs CDP, California",3630,107,9,0,74,90,0,06,81890
"Valley Wells CDP, California",0,0,0,0,0,0,0,06,81925
"Val Verde CDP, California",3292,27,13,0,16,68,13,06,81967
"Vandenberg AFB CDP, California",3681,124,23,9,125,201,10,06,82072
"Vandenberg Village CDP, California",6702,100,0,0,163,99,37,06,82086
"Verdi CDP, California",98,0,0,0,0,0,0,06,82334
"Vernon city, California",329,0,1,0,0,0,0,06,82422
"Victor CDP, California",608,24,0,0,0,52,0,06,82562
"Victorville city, California",134417,904,120,149,696,2266,467,06,82590
"View Park-Windsor Hills CDP, California",11999,89,0,0,33,212,28,06,82667
"Villa Park city, California",5814,102,0,0,79,152,74,06,82744
"Vina CDP, California",270,0,0,0,14,47,0,06,82786
"Vincent CDP, California",15266,71,37,102,84,36,159,06,82815
"Vine Hill CDP, California",3217,76,7,0,66,208,14,06,82842
"Vineyard CDP, California",42657,317,633,756,348,579,1177,06,82852
"Virginia Lakes CDP, California",0,0,0,0,0,0,0,06,82929
"Visalia city, California",141466,1832,490,370,2311,3393,672,06,82954
"Vista city, California",98392,1234,418,118,1417,2856,762,06,82996
"Vista Santa Rosa CDP, California",2269,0,0,0,0,33,0,06,83085
"Volcano CDP, California",59,0,0,0,0,0,0,06,83094
"Volta CDP, California",292,0,0,0,0,0,0,06,83108
"Walker CDP, California",499,0,0,0,0,0,0,06,83262
"Wallace CDP, California",350,0,0,0,0,28,0,06,83304
"Walnut city, California",28212,73,309,291,82,150,1016,06,83332
"Walnut Creek city, California",69809,1354,550,424,1663,2530,774,06,83346
"Walnut Grove CDP, California",814,25,0,0,20,0,0,06,83374
"Walnut Park CDP, California",16209,0,9,16,0,20,23,06,83402
"Warm Springs CDP, California",1876,14,0,22,39,31,0,06,83460
"Warner Valley CDP, California",0,0,0,0,0,0,0,06,83494
"Wasco city, California",26317,67,0,6,284,238,29,06,83542
"Washington CDP, California",117,9,0,0,0,0,0,06,83570
"Waterford city, California",9165,126,0,0,53,118,78,06,83612
"Waterloo CDP, California",840,0,0,0,0,19,0,06,83626
"Watsonville city, California",52457,196,8,15,157,319,19,06,83668
"Waukena CDP, California",63,0,0,0,0,0,0,06,83724
"Wautec CDP, California",17,0,0,0,0,0,0,06,83730
"Wawona CDP, California",122,39,0,0,0,0,0,06,83766
"Weaverville CDP, California",3582,105,29,0,97,118,0,06,83794
"Weed city, California",2845,59,13,10,31,74,0,06,83850
"Weedpatch CDP, California",2788,7,0,0,15,0,0,06,83863
"Weitchpec CDP, California",79,0,0,0,0,0,0,06,83906
"Weldon CDP, California",2602,69,14,3,58,32,0,06,83948
"Weott CDP, California",0,0,0,0,0,0,0,06,84004
"West Athens CDP, California",9131,0,0,0,0,0,0,06,84116
"West Bishop CDP, California",2430,8,8,0,152,73,0,06,84120
"West Carson CDP, California",22240,49,482,358,214,154,648,06,84144
"West Covina city, California",108173,350,971,1141,250,530,2103,06,84200
"West Goshen CDP, California",562,0,0,0,21,7,0,06,84345
"Westhaven-Moonstone CDP, California",1298,7,0,0,16,54,0,06,84385
"West Hollywood city, California",35358,1878,218,290,1699,3044,191,06,84410
"Westlake Village city, California",7948,161,0,0,93,237,0,06,84438
"Westley CDP, California",602,0,0,0,0,0,0,06,84480
"West Menlo Park CDP, California",3401,61,21,35,45,92,77,06,84536
"Westminster city, California",90638,502,1444,1314,481,1106,2111,06,84550
"West Modesto CDP, California",5438,119,0,11,84,95,8,06,84578
"Westmont CDP, California",35345,9,0,0,5,15,0,06,84592
"Westmorland city, California",2010,10,0,0,0,0,0,06,84606
"West Park CDP, California",1148,0,16,9,0,10,16,06,84680
"West Point CDP, California",777,18,0,0,0,19,0,06,84732
"West Puente Valley CDP, California",22074,12,86,125,16,44,252,06,84774
"West Rancho Dominguez CDP, California",22141,0,57,24,9,9,5,06,84780
"West Sacramento city, California",54163,756,468,293,830,1923,558,06,84816
"Westside CDP, California",191,0,0,0,0,0,0,06,84863
"West Whittier-Los Nietos CDP, California",25442,63,27,11,115,109,61,06,84921
"Westwood CDP, California",1116,0,0,0,115,17,0,06,84928
"Wheatland city, California",3702,103,0,0,37,227,0,06,85012
"Whitehawk CDP, California",61,0,0,0,0,0,0,06,85086
"Whitewater CDP, California",1194,15,0,15,29,12,0,06,85208
"Whitley Gardens CDP, California",6,0,0,0,0,0,0,06,85222
"Whitmore CDP, California",272,0,0,5,0,10,0,06,85250
"Whittier city, California",86459,557,122,109,877,1090,393,06,85292
"Wildomar city, California",36822,503,125,43,351,1183,134,06,85446
"Wilkerson CDP, California",590,8,0,0,17,19,0,06,85551
"Williams city, California",5539,60,0,0,8,7,0,06,85586
"Williams Canyon CDP, California",36,0,0,0,0,0,0,06,85587
"Willits city, California",4968,105,0,0,86,139,0,06,85600
"Willowbrook CDP, California",22491,7,26,0,0,8,34,06,85614
"Willow Creek CDP, California",1371,34,0,0,34,52,0,06,85642
"Willows city, California",6201,101,0,73,138,304,0,06,85684
"Wilsonia CDP, California",26,0,0,0,0,0,0,06,85866
"Wilton CDP, California",6663,141,11,57,199,185,102,06,85880
"Winchester CDP, California",2917,0,0,0,23,14,12,06,85894
"Windsor town, California",26320,337,77,6,425,1077,25,06,85922
"Winter Gardens CDP, California",21320,409,29,26,221,929,26,06,85992
"Winterhaven CDP, California",53,0,0,0,0,0,0,06,86020
"Winters city, California",7270,124,0,0,70,210,0,06,86034
"Winton CDP, California",11986,41,9,0,17,215,6,06,86076
"Wofford Heights CDP, California",2267,0,0,0,36,153,0,06,86174
"Woodacre CDP, California",1389,23,0,0,89,0,0,06,86216
"Woodbridge CDP, California",3870,142,0,0,33,162,0,06,86230
"Woodcrest CDP, California",17378,159,51,59,257,448,84,06,86244
"Woodlake city, California",7495,18,0,0,10,19,6,06,86300
"Woodland city, California",61227,479,213,242,700,1533,271,06,86328
"Woodlands CDP, California",1924,0,0,0,0,16,0,06,86380
"Woodside town, California",5256,87,6,0,99,197,16,06,86440
"Woodville CDP, California",1830,0,0,0,0,0,0,06,86482
"Woodville Farm Labor Camp CDP, California",425,0,0,0,0,0,0,06,86489
"Woody CDP, California",96,0,0,0,5,4,0,06,86496
"Wrightwood CDP, California",4461,166,0,0,23,292,0,06,86594
"Yankee Hill CDP, California",318,0,0,0,0,30,0,06,86678
"Yermo CDP, California",981,10,0,42,0,295,0,06,86720
"Yettem CDP, California",108,0,0,0,0,0,0,06,86734
"Yolo CDP, California",281,0,0,0,0,18,0,06,86804
"Yorba Linda city, California",68035,646,374,124,858,1721,1108,06,86832
"Yosemite Lakes CDP, California",5232,116,0,0,90,139,12,06,86878
"Yosemite Valley CDP, California",1737,2,0,29,30,82,50,06,86912
"Yosemite West CDP, California",29,0,0,0,0,0,0,06,86916
"Yountville city, California",3397,0,0,0,12,119,0,06,86930
"Yreka city, California",7833,234,0,0,176,290,0,06,86944
"Yuba City city, California",69535,905,463,535,933,1694,808,06,86972
"Yucaipa city, California",54428,1234,162,59,813,1857,158,06,87042
"Yucca Valley town, California",21700,392,0,0,479,667,19,06,87056
"Zayante CDP, California",451,0,0,0,0,13,0,06,87090
